标题,位置,房屋类型,面积,单价,总价,介绍,网址
金源悦府精装三房，总价包含车位，可拎包入住,金源悦府 东沟岭,3室2厅,95.82平米,"8,663元/平",83万,南 北其他高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116386194.html
金源悦府 住宅性质 单身公寓小单间,金源悦府 东沟岭,1室0厅,49.88平米,"8,621元/平",43万,南其他高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114312566.html
兴宁区品质楼盘天健世纪花园 户型方正 采光通风都不错,天健世纪花园 东沟岭,2室2厅,55.65平米,"15,454元/平",86万,南精装高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105109615015.html
高层小三房。采光通风好，做婚房、家庭住都可以,中海雍翠峰 东沟岭,3室2厅,78平米,"9,616元/平",75万,南精装高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105112206004.html
清水毛坯联排别墅，大花园，小区中间位置。,金源悦峯别墅区 东沟岭,6室2厅,416平米,"10,337元/平",430万,南 北毛坯低楼层(共3层) ,https://nn.lianjia.com/ershoufang/105113778181.html
盛天果岭 精装一房一厅 配套成熟 适合青年居住,盛天果岭 东沟岭,1室1厅,49平米,"10,205元/平",50万,东南精装高楼层(共15层) ,https://nn.lianjia.com/ershoufang/105113283920.html
吾悦广场旁 两房 业主诚心出售,鑫利华家园 东沟岭,2室1厅,62平米,"8,388元/平",52万,南其他中楼层(共17层) ,https://nn.lianjia.com/ershoufang/105111529360.html
双地铁口 南北通透 融创茂购物 家门口 三房二厅,保利▪山水怡城 东沟岭,3室2厅,89.45平米,"7,603元/平",68万,南 北精装高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105112039924.html
望州路上，交通便利精装3房中间楼层,广西第一安装有限公司望州生活区 东沟岭,3室1厅,95平米,"8,422元/平",80万,东南其他中楼层(共7层) ,https://nn.lianjia.com/ershoufang/105110494053.html
吾悦广场旁，两房一卫，小区环境优美！,中海悦公馆 东沟岭,3室2厅,87平米,"11,150元/平",97万,南毛坯中楼层(共33层) ,https://nn.lianjia.com/ershoufang/105110247015.html
高楼层，视野好，毛坯大五房，湿地公园旁，带车位,华府 东沟岭,5室2厅,143平米,"11,889元/平",170万,南毛坯高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105104587257.html
嘉和城温莎北郡四房，高拓展毛坯，楼层采光好,嘉和城温莎北郡 兴宁东,4室2厅,143平米,"8,252元/平",118万,南毛坯高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105108214757.html
此房满二不唯一，三房改大两房，房大厅大,盛天公馆 东沟岭,2室2厅,80平米,"10,250元/平",82万,东南 南精装低楼层(共28层) ,https://nn.lianjia.com/ershoufang/105109476655.html
龙光阳光河畔 4室2厅 南 北,龙光阳光河畔 东沟岭,4室2厅,118.67平米,"8,849元/平",105万,南 北毛坯低楼层(共31层) ,https://nn.lianjia.com/ershoufang/105115729063.html
北郡5房，房间大，楼层好，采光好,嘉和城温莎北郡 兴宁东,5室2厅,143平米,"8,392元/平",120万,南其他高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105112663507.html
老城区电梯2房，户型正，南北通风，居住舒适,同和华彩美地D区 东沟岭,2室1厅,86平米,"7,907元/平",68万,东南简装中楼层(共11层) ,https://nn.lianjia.com/ershoufang/105112335691.html
青秀区与兴宁区交界处，快环边上好房出售。,龙基传媒星城 东沟岭,2室1厅,82平米,"9,757元/平",80万,南毛坯高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105105614061.html
电梯房顶楼 毛坯楼中楼户型 满五不唯一,橘子郡 东沟岭,6室3厅,125.34平米,"22,659元/平",284万,南 北毛坯高楼层(共11层) ,https://nn.lianjia.com/ershoufang/105104743011.html
狮山公园地铁口，精装大4房，花园小区,瀚林美筑 东沟岭,3室2厅,112平米,"10,804元/平",121万,南其他低楼层(共23层) ,https://nn.lianjia.com/ershoufang/105115917802.html
实用两房  人民公园 沃尔玛 出行便利 生活配套齐全,欣隆盛世观邸 东沟岭,2室2厅,78平米,"8,334元/平",65万,南其他低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105114676710.html
兴宁·大唐果 3室2厅 南,兴宁·大唐果 东沟岭,3室2厅,109平米,"10,918元/平",119万,南精装中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105115238070.html
盛天大品牌开发痂、进地铁、人民公园,盛天公馆 东沟岭,3室2厅,88平米,"14,319元/平",126万,东南简装低楼层(共27层) ,https://nn.lianjia.com/ershoufang/105112548530.html
兴宁·大唐果 4室2厅 南,兴宁·大唐果 东沟岭,4室2厅,120平米,"10,834元/平",130万,南精装中楼层(共29层) ,https://nn.lianjia.com/ershoufang/105116354032.html
金源悦府 住宅性质 单身公寓小单间,金源悦府 东沟岭,1室0厅,49.2平米,"8,740元/平",43万,南其他高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105114312784.html
5号线地铁口，有吾悦广场，那考河湿地公园,联发尚筑 东沟岭,3室2厅,105平米,"10,667元/平",112万,北 东北精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105112039615.html
金源悦府 3室2厅 北,金源悦府 东沟岭,3室2厅,101.15平米,"8,898元/平",90万,北毛坯低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114316423.html
大嘉汇•东城 1室1厅 东南,大嘉汇•东城 东沟岭,1室1厅,32平米,"11,250元/平",36万,东南精装中楼层(共17层) ,https://nn.lianjia.com/ershoufang/105113400660.html
精装修 业主自住保养好 拎包入住 诚心卖,香樟林 东沟岭,3室2厅,89.14平米,"9,536元/平",85万,东南其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105113703613.html
中海悦公馆 三房两卫 业主诚心出售，看房随时,中海悦公馆 东沟岭,3室2厅,92平米,"10,870元/平",100万,东南精装高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114855937.html
嘉和城温莎北郡坐北朝南  总价低,嘉和城温莎北郡 兴宁东,2室2厅,63.97平米,"7,660元/平",49万,南毛坯低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105110223297.html
嘉和城温莎北郡 4室2厅 南,嘉和城温莎北郡 兴宁东,4室2厅,66平米,"9,849元/平",65万,南毛坯高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105116949432.html
兴宁东 南宁恒大华府大三房诚心出售,南宁恒大华府 东沟岭,3室2厅,122.5平米,"9,307元/平",114万,南 北其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105110752669.html
保利▪山水怡城 3室1厅 南,保利▪山水怡城 东沟岭,3室1厅,88平米,"7,387元/平",65万,南其他高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105116455730.html
有证满两年免增值税，厅出阳台朝南四房,一品天下 东沟岭,4室2厅,136平米,"8,824元/平",120万,南 北其他高楼层(共43层) ,https://nn.lianjia.com/ershoufang/105116173256.html
南宁绿地城 4室1厅 南,南宁绿地城 兴宁东,4室1厅,114平米,"6,316元/平",72万,南其他高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105116451388.html
长堽路 近凤岭北电梯三房业主诚心出售 全新装修未住过,富丰长堽1号 东沟岭,3室2厅,93平米,"9,140元/平",85万,南 北其他高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105113736583.html
满五唯一、免双税，顶复大户 带露台，房子保养好,中海国际一期 东沟岭,5室2厅,181.17平米,"9,660元/平",175万,南精装高楼层(共31层) ,https://nn.lianjia.com/ershoufang/105113626332.html
实用三房，户型方正，生活配套齐全,欣隆盛世观邸 东沟岭,3室2厅,81.08平米,"8,141元/平",66万,南 北其他中楼层(共17层) ,https://nn.lianjia.com/ershoufang/105116459020.html
"小区居住环境好,人车分流,社区比较完善,交通便利",金源悦府 东沟岭,3室2厅,78平米,"8,462元/平",66万,南简装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116805547.html
嘉和城温莎北郡 3房 2厅 1厨 2卫,嘉和城温莎北郡 兴宁东,3室2厅,81.32平米,"6,518元/平",53万,南精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105112906540.html
嘉和城温莎北郡 5房2厅1厨2卫 精装,嘉和城温莎北郡 兴宁东,5室2厅,143.78平米,"9,946元/平",143万,南精装高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105112848051.html
狮山公园一路之隔，2015年花园小区,瀚林山水源 东沟岭,3室2厅,88平米,"9,887元/平",87万,南 北精装中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105115212206.html
精品五房 金源一品天下 业主摆烂,一品天下 东沟岭,5室2厅,136.78平米,"9,870元/平",135万,北其他高楼层(共46层) ,https://nn.lianjia.com/ershoufang/105111601904.html
中海悦公馆 2室2厅 南,中海悦公馆 东沟岭,2室2厅,72平米,"9,723元/平",70万,南精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105117061398.html
温莎南郡毛坯3房2卫，户型南北对流采光通风好,嘉和城温莎南郡 兴宁东,3室2厅,116.19平米,"5,595元/平",65万,南 北毛坯高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105116385864.html
步梯2楼，大四房，改善自住都可以，产权清晰,同和华彩美地D区 东沟岭,4室2厅,131.34平米,"6,701元/平",88万,东南简装中楼层(共7层) ,https://nn.lianjia.com/ershoufang/105113700656.html
