标题,位置,房屋类型,面积,单价,总价,介绍,网址
广西壮族自治区二七二地质队 4室2厅 南 北,广西壮族自治区二七二地质队 经开区,4室2厅,119.66平米,"6,101元/平",73万,南 北毛坯高楼层(共22层) ,https://nn.lianjia.com/ershoufang/105115325246.html
房子装修很不错，随时随地看房，业主好说话,威宁首府 经开区,5室2厅,143.97平米,"7,988元/平",115万,南 北精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116208013.html
普罗旺斯波尔精装3房 南北对流 通风好 采光佳 保养新,龙光普罗旺斯波尔多庄园 经开区,3室2厅,81平米,"8,396元/平",68万,南精装高楼层(共25层) ,https://nn.lianjia.com/ershoufang/105116931440.html
业主精装修，电梯房 宽楼间距 价格可谈 合适随时看房,汇东星城 经开区,3室2厅,119平米,"7,564元/平",90万,南 北毛坯高楼层(共22层) ,https://nn.lianjia.com/ershoufang/105116533289.html
毛坯房装修自己定，总价低，业主诚心出售！,森林假日 经开区,4室2厅,96平米,"7,813元/平",75万,南毛坯高楼层(共24层) ,https://nn.lianjia.com/ershoufang/105114063866.html
好消息，首付15万月供3500？4号地铁口大三房带回家,碧园南城故事 经开区,3室2厅,89平米,"5,618元/平",50万,南其他高楼层(共7层) ,https://nn.lianjia.com/ershoufang/105109036171.html
业主自住，南北对流户型 前后阳台大三房 地铁口小区,锦兰公馆 经开区,2室1厅,83平米,"7,711元/平",64万,南 北其他低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114563024.html
华南城商圈  东盟华府 一房一厅  配套齐全,东盟华府 沙井,1室1厅,40平米,"6,500元/平",26万,南简装高楼层(共13层) ,https://nn.lianjia.com/ershoufang/105110885014.html
二七二地质队 业主诚心卖 格局方正,广西壮族自治区二七二地质队 经开区,2室2厅,59平米,"5,933元/平",35万,南简装高楼层(共7层) ,https://nn.lianjia.com/ershoufang/105107262829.html
小区居住适宜，公园江边近，空气清新,云星钱隆江南 白沙星光,3室2厅,94平米,"8,511元/平",80万,南精装低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105109640419.html
香奈儿小两房，随时看房，业主诚心卖,龙光普罗旺斯香奈儿 经开区,2室1厅,49平米,"8,572元/平",42万,南精装低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105116174304.html
户型好 单价低 近菜市地铁  交通便利,兰馨苑 沙井,3室2厅,85平米,"6,942元/平",59万,南 北精装高楼层(共11层) ,https://nn.lianjia.com/ershoufang/105116328474.html
满五唯一通透四房 精装修单价低拎包入住,巴黎香醍 经开区,4室2厅,120平米,"7,584元/平",91万,南精装中楼层(共18层) ,https://nn.lianjia.com/ershoufang/105115580555.html
有证啦 地铁4、5号线 精装4房 高品质板式美宅,青溪府 经开区,4室2厅,143平米,"11,385元/平",162.8万,南 北精装中楼层(共8层) ,https://nn.lianjia.com/ershoufang/105106313347.html
双地铁口！彰泰天街在门口！全新精装一房，看房方便,彰泰新旺角 经开区,1室1厅,40.55平米,"9,076元/平",36.8万,东精装低楼层(共28层) ,https://nn.lianjia.com/ershoufang/105115052445.html
富乐新城三期 3室2厅 东南,富乐新城三期 沙井,3室2厅,83.06平米,"5,418元/平",45万,东南精装中楼层(共34层) ,https://nn.lianjia.com/ershoufang/105112679608.html
成熟商圈精装3房，房子还有个车位使用 无欠款马上过户,风格雨林 经开区,3室2厅,87.8平米,"6,493元/平",57万,东南简装高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105113761508.html
玖珑府南北双阳台 高楼层 采光好,龙光玖珑府 经开区,4室2厅,118平米,"10,424元/平",123万,南 北精装中楼层(共40层) ,https://nn.lianjia.com/ershoufang/105116383096.html
玖誉城 蓝鲸世界 大都郡 带露台 横厅4房2卫,大都郡 经开区,4室2厅,112平米,"7,947元/平",89万,南精装低楼层(共27层) ,https://nn.lianjia.com/ershoufang/105115722416.html
威宁首府德逸园 3室2厅 南,威宁首府德逸园 经开区,3室2厅,106.9平米,"9,823元/平",105万,南其他中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105115244947.html
威宁首府德逸园 5室1厅 南,威宁首府德逸园 经开区,5室1厅,143平米,"7,693元/平",110万,南其他高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105115560978.html
威宁首府德逸园 5室2厅 南,威宁首府德逸园 经开区,5室2厅,143平米,"8,532元/平",122万,南其他中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105115535345.html
紫兰公馆毛坯两房  双地铁 下楼就是公园 目式教育,紫兰公馆 经开区,2室2厅,85平米,"7,648元/平",65万,南毛坯中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105115075815.html
单价7500！满五唯一！波尔多全新精装三房，朝南采光好,龙光普罗旺斯波尔多庄园 经开区,3室1厅,95平米,"7,579元/平",72万,南精装高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116920009.html
笋盘单价6600！紫罗兰精装三房，通透户型，看房有钥匙,龙光普罗旺斯紫罗兰 经开区,3室2厅,118平米,"6,611元/平",78万,北精装中楼层(共16层) ,https://nn.lianjia.com/ershoufang/105116975658.html
地铁口楼中楼 带私家露台使用 配套成熟,天筑丽城 白沙星光,3室2厅,69.27平米,"9,384元/平",65万,南其他高楼层(共6层) ,https://nn.lianjia.com/ershoufang/105115722465.html
玖珑府 精装l四房 单价一万出头 看房方便,龙光玖珑府 经开区,4室2厅,118平米,"10,594元/平",125万,南精装高楼层(共40层) ,https://nn.lianjia.com/ershoufang/105115081293.html
4楼  朝南  精装修  4房2卫 拎包入住,荣和·公园里 沙井,4室2厅,98.34平米,"8,644元/平",85万,南其他低楼层(共28层) ,https://nn.lianjia.com/ershoufang/105116270170.html
紫兰公馆  业主诚意出售  精装修保养新  朝小区花园,紫兰公馆 经开区,2室2厅,86平米,"8,140元/平",70万,东南其他低楼层(共31层) ,https://nn.lianjia.com/ershoufang/105115760869.html
房子自住，，保养9成新，，，，，，家具家电全留下！,龙光普罗旺斯香奈儿 经开区,4室2厅,112.15平米,"10,344元/平",116万,南 北其他高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105115336897.html
八桂绿城别墅  400平 毛坯  业主诚心出售,八桂绿城 经开区,6室3厅,400平米,"17,500元/平",700万,南毛坯3层 板塔结合,https://nn.lianjia.com/ershoufang/105110705350.html
普罗商圈精装三房 南北对流户型 装修保养好满五唯一,昌泰鑫金绿洲 经开区,3室2厅,99.56平米,"8,639元/平",86万,南 北其他高楼层(共28层) ,https://nn.lianjia.com/ershoufang/105114710677.html
普罗旺斯 拉菲 满五唯一  无欠款  随时可签,龙光普罗旺斯拉菲 经开区,5室2厅,126平米,"7,540元/平",95万,南其他低楼层(共31层) ,https://nn.lianjia.com/ershoufang/105106130823.html
朝南户型方正采光充足交通便利地铁口,南航翔宇花园 经开区,3室2厅,114.25平米,"6,915元/平",79万,东南其他低楼层(共23层) ,https://nn.lianjia.com/ershoufang/105115677722.html
小区环境优雅，配套成熟，居住舒适，交通方便,云星钱隆江南 白沙星光,3室2厅,90.8平米,"9,912元/平",90万,南其他中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105107415240.html
地铁公园房  8字头 毛坏  业主诚心出售,锦兰公馆 经开区,3室1厅,111.02平米,"8,107元/平",90万,南毛坯高楼层(共32层) ,https://nn.lianjia.com/ershoufang/105111840894.html
地铁口2号线 3房2厅  业主诚心出售 带装修 红本在手,玫瑰园住宅楼 经开区,3室2厅,109平米,"6,056元/平",66万,北简装高楼层(共6层) ,https://nn.lianjia.com/ershoufang/105108054754.html
业主诚心出售 房子产权清晰  目前自住保养新,中旭•中央城 经开区,4室2厅,119平米,"7,984元/平",95万,南简装低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114112138.html
好消息，南航三房诚心出售。业主现在急卖，价格可谈,南航翔宇花园 经开区,3室2厅,114平米,"7,281元/平",83万,南其他高楼层(共23层) ,https://nn.lianjia.com/ershoufang/105111052453.html
总价低  实用面积大  交通便利,玫瑰园 经开区,4室3厅,166.94平米,"15,575元/平",260万,南其他3层 板塔结合,https://nn.lianjia.com/ershoufang/105110737624.html
罗马花园   1房  33平  中等装修  业主诚心出售,罗马花园 经开区,1室1厅,32.76平米,"9,158元/平",30万,南 东南简装中楼层(共16层) ,https://nn.lianjia.com/ershoufang/105112968914.html
急售笋盘！锦兰公馆高层三房，单价低，看房方便有钥匙,锦兰公馆 经开区,3室2厅,95平米,"8,948元/平",85万,南毛坯中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105107899867.html
地铁物业  总价低，实用居家两房,碧园南城故事 经开区,2室2厅,78.8平米,"6,028元/平",47.5万,东南简装高楼层(共6层) ,https://nn.lianjia.com/ershoufang/105115508997.html
