标题,位置,房屋类型,面积,单价,总价,介绍,网址
房子精装，户型方正通透楼层好，视野宽阔采光足配套齐,融创九棠府二期 五象湖,4室2厅,144平米,"12,084元/平",174万,南 北其他中楼层(共25层) ,https://nn.lianjia.com/ershoufang/105111966681.html
五象湖东 融创九棠府 精装四房,融创九棠府二期 五象湖,4室2厅,116平米,"11,380元/平",132万,南其他低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105112940130.html
彰泰郡精装未入住三房95万带车位,彰泰郡 五象湖,3室2厅,86平米,"11,047元/平",95万,南其他低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105115320028.html
华润二十四城南面 距离五象湖3公里,荣和五象院子 五象湖,3室2厅,70平米,"12,143元/平",85万,东南精装低楼层(共25层) ,https://nn.lianjia.com/ershoufang/105115073854.html
合景叠翠峰 3室2厅 南 北,合景叠翠峰 五象湖,3室2厅,99平米,"8,384元/平",83万,南 北毛坯中楼层(共28层) ,https://nn.lianjia.com/ershoufang/105115143697.html
路桥·壮美山湖 4室2厅 东南,路桥·壮美山湖 五象湖,4室2厅,126.44平米,"11,468元/平",145万,东南其他中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105114292285.html
建工城三房近主干道，成熟商圈，品牌房企,建工城 五象湖,3室1厅,106平米,"6,887元/平",73万,南毛坯高楼层(共30层) ,https://nn.lianjia.com/ershoufang/105116344101.html
南宁头个交房得证的小区，铁学商样样配齐，随时看房,旭辉湖山樾 五象湖,3室2厅,104平米,"18,270元/平",190万,南精装低楼层(共26层) ,https://nn.lianjia.com/ershoufang/105108325427.html
总部基地旁，精装四房，诚意出售，随时看房,融创九棠府二期 五象湖,4室2厅,131平米,"12,214元/平",160万,南 北其他高楼层(共26层) ,https://nn.lianjia.com/ershoufang/105110481271.html
此房楼栋位置好，布局大方、采光充足！地理位置优越,荣和·五象学府 五象湖,3室2厅,113.81平米,"12,302元/平",140万,东南其他低楼层(共27层) ,https://nn.lianjia.com/ershoufang/105114416277.html
