标题,位置,房屋类型,面积,单价,总价,介绍,网址
近5号线，滨江公园，户型方正，通风采光，产权清晰。,龙光·水悦龙湾 西大,2室2厅,85平米,"10,000元/平",85万,南 北精装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105109625547.html
网红小区，实用面积大，带装修，业主诚心出售,人和莱茵鹭湖 心圩区,2室2厅,49.5平米,"12,526元/平",62万,东南精装低楼层(共22层) ,https://nn.lianjia.com/ershoufang/105109150551.html
业主诚心出售，户型方正，采光通风好,瀚林·御景 西大,3室2厅,89平米,"10,899元/平",97万,南精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105115919011.html
近5号线，滨江公园，户型方正，通风采光,龙光·水悦龙湾 西大,4室2厅,140平米,"9,929元/平",139万,南 北精装低楼层(共34层) ,https://nn.lianjia.com/ershoufang/105111291164.html
荣和开发商 小户型 好出租 业主诚心出售,MOCO荣和摩客社区 北湖南,1室1厅,40平米,"11,250元/平",45万,东南其他高楼层(共22层) ,https://nn.lianjia.com/ershoufang/105115297490.html
房子证在手70年产权，产权清晰，看房方便，1房1厅,红日江山 心圩区,1室1厅,38.3平米,"7,833元/平",30万,南简装中楼层(共23层) ,https://nn.lianjia.com/ershoufang/105115916266.html
荣和摩客   格局方正   采光通风好    中间楼层,MOCO荣和摩客社区 北湖南,2室1厅,64平米,"11,719元/平",75万,东南简装高楼层(共20层) ,https://nn.lianjia.com/ershoufang/105107101382.html
北湖北精装房出售，业主诚心价格美丽,MOCO荣和摩客社区 北湖南,3室2厅,81.4平米,"12,286元/平",100万,南精装高楼层(共22层) ,https://nn.lianjia.com/ershoufang/105103739137.html
西大朝阳品质3房！价格实惠配套成熟！装修新拎包入住,瀚林新城 朝阳,3室2厅,89.09平米,"12,572元/平",112万,南精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105108724707.html
地铁5号线 北湖芯  近菜市 北湖北小鞋,MOCO荣和摩客社区 北湖南,2室1厅,40平米,"12,500元/平",50万,南简装高楼层(共22层) ,https://nn.lianjia.com/ershoufang/105115858468.html
5号地铁沿线荣和MOCO社区稀有复式楼中楼可读北湖北,MOCO荣和摩客社区 北湖南,1室2厅,40.65平米,"13,285元/平",54万,南其他高楼层(共22层) ,https://nn.lianjia.com/ershoufang/105108861042.html
小区绿化环境好，适合居住，配套完善美食街，商场齐全,MOCO荣和摩客社区 北湖南,2室1厅,65平米,"12,308元/平",80万,南简装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114304442.html
澜月府，安吉万达旁边，业主诚心出售，房子保养好,澜月府 安吉,4室2厅,118平米,"11,000元/平",129.8万,南其他高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105116169338.html
