标题,位置,房屋类型,面积,单价,总价,介绍,网址
310平底复，带花园，地下室。上下3层,中铁江湾山语城 龙岗,5室3厅,310平米,"11,291元/平",350万,南 北其他低楼层(共11层) ,https://nn.lianjia.com/ershoufang/105109934646.html
洋房社区低密度，户型方正南北连通，小高层得房率高,中铁江湾山语城 龙岗,3室2厅,77.17平米,"12,959元/平",100万,南其他中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105113926299.html
业主诚心卖房，南北对流，前后阳台，户型好,龙域香醍半岛 龙岗,4室2厅,123平米,"7,724元/平",95万,东南毛坯高楼层(共23层) ,https://nn.lianjia.com/ershoufang/105113127298.html
全新房中高层，没有住过，欠款少可自解，已拿证,万科金域滨江 龙岗,3室2厅,95平米,"11,053元/平",105万,南精装高楼层(共28层) ,https://nn.lianjia.com/ershoufang/105112287095.html
五象东，万达茂商圈，精致三房，有车位,君华•锦云 龙岗,4室2厅,100平米,"8,200元/平",82万,南精装中楼层(共29层) ,https://nn.lianjia.com/ershoufang/105113562936.html
大唐果94平四房，视野好，得房高，生活便利,大唐果(邕宁区) 龙岗,4室1厅,92平米,"8,261元/平",76万,南毛坯低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105114821599.html
五象东，万达茂商圈，边套别墅，濒临邕江公园,阳光城丽景湾 龙岗,5室2厅,232.41平米,"24,526元/平",570万,南 北毛坯3层 塔楼,https://nn.lianjia.com/ershoufang/105114891749.html
带花园别墅 业主诚心出售 看合适可谈 看房方便,阳光城丽景湾 龙岗,6室2厅,206平米,"21,845元/平",450万,南毛坯低楼层(共3层) ,https://nn.lianjia.com/ershoufang/105115840445.html
五象龙岗 丽景湾精装未住过 有证无欠款,阳光城丽景湾 龙岗,4室2厅,121平米,"11,158元/平",135万,南精装中楼层(共38层) ,https://nn.lianjia.com/ershoufang/105113969245.html
一线江景精装修  视野好 2梯三户 舒适度高,中铁江湾山语城 龙岗,4室1厅,98平米,"14,796元/平",145万,东南精装高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105113872399.html
江湾前排看江顶复楼中楼带三个车位业主诚心出售,中铁江湾山语城 龙岗,5室2厅,182平米,"17,583元/平",320万,南 北其他6层 ,https://nn.lianjia.com/ershoufang/105111757332.html
宜居江景别墅，万科物业，诚信出售看房方便,阳光城丽景湾 龙岗,6室2厅,206平米,"18,933元/平",390万,南 北毛坯低楼层(共3层) ,https://nn.lianjia.com/ershoufang/105116586957.html
新城悦隽风华 3室2厅 南 北,新城悦隽风华 龙岗,3室2厅,100平米,"9,700元/平",97万,南 北精装中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105110870754.html
红本在手，业主诚心出售，房子采光好,君华•锦云 龙岗,3室2厅,98平米,"6,939元/平",68万,南 北毛坯低楼层(共32层) ,https://nn.lianjia.com/ershoufang/105110080822.html
丽景湾毛坯小高层，小区环境好，舒适度高,阳光城丽景湾 龙岗,2室1厅,175平米,"11,486元/平",201万,南毛坯中楼层(共10层) ,https://nn.lianjia.com/ershoufang/105111991769.html
阳光城丽景湾 3室1厅 南,阳光城丽景湾 龙岗,3室1厅,81平米,"10,865元/平",88万,南其他低楼层(共38层) ,https://nn.lianjia.com/ershoufang/105111940262.html
阳光城丽景湾 4室1厅 南,阳光城丽景湾 龙岗,4室1厅,120平米,"10,834元/平",130万,南精装高楼层(共38层) ,https://nn.lianjia.com/ershoufang/105113976037.html
温馨小三房  带装修 可以拎包入住  价格可以商量,世茂茂御府 龙岗,3室2厅,67.7平米,"10,340元/平",70万,东南简装低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105113743193.html
阳光城丽景湾 精装修四房 大平层 业主诚心出售,阳光城丽景湾 龙岗,4室2厅,129平米,"13,179元/平",170万,北精装中楼层(共40层) ,https://nn.lianjia.com/ershoufang/105113786966.html
阳光城丽景湾 5室2厅 南 北,阳光城丽景湾 龙岗,5室2厅,145平米,"10,690元/平",155万,南 北简装低楼层(共30层) ,https://nn.lianjia.com/ershoufang/105110022193.html
五象东装修三房中高楼层业主诚心出来售,世茂茂御府 龙岗,3室2厅,86平米,"12,559元/平",108万,南 北精装低楼层(共18层) ,https://nn.lianjia.com/ershoufang/105113274608.html
中铁3房 中间楼层 户型方正 采光视野好 毛坯可自主装,中铁交通天地明珠 龙岗,3室2厅,97平米,"10,310元/平",100万,南其他中楼层(共26层) ,https://nn.lianjia.com/ershoufang/105113058217.html
五象新区龙岗央企江湾山语城满五唯一有20平空间利用,中铁江湾山语城 龙岗,3室2厅,77平米,"12,091元/平",93.1万,南 西简装中楼层(共30层) ,https://nn.lianjia.com/ershoufang/105113288352.html
精装好，户型 方正、布局合理、通风采光好,阳光城丽景湾 龙岗,4室2厅,123平米,"14,635元/平",180万,南 北精装中楼层(共15层) ,https://nn.lianjia.com/ershoufang/105108587839.html
五象新区万达商圈十刚需小三房十精装修业主急卖,世茂茂御府 龙岗,3室1厅,68平米,"10,000元/平",68万,南精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105108680892.html
龙岗新区精装4+1房，大阳台中楼层，无抵押,阳光城丽景湾 龙岗,5室2厅,145平米,"12,276元/平",178万,南精装中楼层(共31层) ,https://nn.lianjia.com/ershoufang/105105284634.html
自住房保养好 户型方正，采光好 视野无遮挡，有证,阳光城丽景湾 龙岗,3室2厅,86.99平米,"10,347元/平",90万,南 北简装中楼层(共40层) ,https://nn.lianjia.com/ershoufang/105110103235.html
江湾山语城。江景房。楼中楼。带露台。,中铁江湾山语城 龙岗,5室2厅,182平米,"20,880元/平",380万,北毛坯5层 ,https://nn.lianjia.com/ershoufang/105104319652.html
带大露台 户型通透采光好  ，靠江边居住环境舒适,阳光城丽景湾 龙岗,3室2厅,85.5平米,"11,346元/平",97万,东南简装低楼层(共38层) ,https://nn.lianjia.com/ershoufang/105107568372.html
江湾山语城，精装楼中楼，可看江，装修好,中铁江湾山语城 龙岗,6室4厅,184.84平米,"11,903元/平",220万,南 北精装中楼层(共43层) ,https://nn.lianjia.com/ershoufang/105111220776.html
世茂茂御府精装3房 自住 保养好,世茂茂御府 龙岗,3室2厅,89.9平米,"11,124元/平",100万,南精装低楼层(共33层) ,https://nn.lianjia.com/ershoufang/105109532218.html
高楼层，采光通风俱佳，户型得房率高,中铁江湾山语城 龙岗,5室2厅,148平米,"20,068元/平",297万,南 北其他高楼层(共12层) ,https://nn.lianjia.com/ershoufang/105109501410.html
此房满二无增值税，三室两厅 大阳台 高楼层,君华•锦云 龙岗,3室2厅,108平米,"7,871元/平",85万,南精装中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105113026979.html
世茂茂御府 3室2厅 南,世茂茂御府 龙岗,3室2厅,79.41平米,"10,075元/平",80万,南精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105110810073.html
