标题,位置,房屋类型,面积,单价,总价,介绍,网址
双公园3楼 精装修家具家电齐全 领包入住,幸福家园 东葛路,3室2厅,80平米,"9,000元/平",72万,南精装中楼层(共8层) ,https://nn.lianjia.com/ershoufang/105115447840.html
业主诚心出售凤岭北小三房，装修保养好，楼层采光好,凤岭山语城 凤岭北,3室2厅,86.14平米,"12,770元/平",110万,南精装高楼层(共33层) ,https://nn.lianjia.com/ershoufang/105114743693.html
凤岭北 业主自住大三房 满五年无抵押 价格可以商量,塞纳维拉花园 凤岭北,3室2厅,124平米,"8,468元/平",105万,东南简装中楼层(共7层) ,https://nn.lianjia.com/ershoufang/105116532229.html
地铁口双北大，装修保养漂亮含家具家电，价格可谈,荣和山水美地4组团微笑湾 凤岭北,3室2厅,100.67平米,"12,715元/平",128万,南精装高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105116629774.html
2020年交房 青秀山旁边 全新精装修,新希望·大唐·锦悦青山 柳沙,3室2厅,99平米,"12,122元/平",120万,南其他中楼层(共27层) ,https://nn.lianjia.com/ershoufang/105115299222.html
联发尚品 115平精装 大3房出售只要6000+单价 中高楼层,联发·尚品 仙葫,3室1厅,118平米,"5,509元/平",65万,南简装中楼层(共17层) ,https://nn.lianjia.com/ershoufang/105115635755.html
凤岭北中高层 霖峰壹号精装三房 业主诚心卖房,霖峰壹号3组团 凤岭北,3室2厅,86.33平米,"15,986元/平",138万,南其他45层 ,https://nn.lianjia.com/ershoufang/105115101406.html
凤岭北方正大平层 毛坯四房 有车位 通透户型,东方皇城花园 凤岭北,4室2厅,142平米,"10,916元/平",155万,南毛坯中楼层(共16层) ,https://nn.lianjia.com/ershoufang/105116715932.html
朝南小户型，民主路x学，看小区园林，楼间距宽视野好,禧悦都 凤岭南,3室2厅,89.83平米,"12,802元/平",115万,南精装高楼层(共34层) ,https://nn.lianjia.com/ershoufang/105116245841.html
美泉1612 3室2厅 南,美泉1612 凤岭北,3室2厅,88.26平米,"12,804元/平",113万,南其他中楼层(共32层) ,https://nn.lianjia.com/ershoufang/105116879900.html
彰泰凤岭江湾101平3+1方 好小区 更好物业,彰泰·凤岭江湾 仙葫,4室2厅,101平米,"11,882元/平",120万,西南精装高楼层(共18层) ,https://nn.lianjia.com/ershoufang/105114396899.html
